model,attribute,group,n,default_rate,decline_rate,auc,brier,mean_predicted,calibration_gap,fpr_good_declined,fnr_bad_approved
Expert scorecard (unfitted),Firm size (employees),Large (100+),752,0.1676,0.0997,0.4259,,,,0.1102,0.9524
Expert scorecard (unfitted),Firm size (employees),Medium (20-99),16105,0.2493,0.0842,0.5025,,,,0.0911,0.9367
Expert scorecard (unfitted),Firm size (employees),Micro (1-4),174587,0.3753,0.2416,0.5296,,,,0.224,0.7291
Expert scorecard (unfitted),Firm size (employees),Not reported (0),3597,0.3353,0.3328,0.6172,,,,0.2894,0.5813
Expert scorecard (unfitted),Firm size (employees),Small (5-19),80446,0.3483,0.1307,0.508,,,,0.1324,0.8726
Expert scorecard (unfitted),Firm age,Existing,196084,0.3661,0.128,0.5329,,,,0.1196,0.8574
Expert scorecard (unfitted),Firm age,New business,79289,0.3414,0.3804,0.5506,,,,0.351,0.5629
Expert scorecard (unfitted),Firm age,Not recorded,114,0.1842,0.5263,,,,,0.4946,0.3333
Expert scorecard (unfitted),Sector,Accommodation/Food,25038,0.365,0.2741,0.5644,,,,0.2458,0.6767
Expert scorecard (unfitted),Sector,Admin/Waste,17131,0.3456,0.1794,0.5272,,,,0.1696,0.8019
Expert scorecard (unfitted),Sector,Agriculture/Forestry/Fishing,1412,0.1919,0.3562,0.5125,,,,0.3611,0.6642
Expert scorecard (unfitted),Sector,Arts/Entertainment,5417,0.3651,0.2869,0.5315,,,,0.2719,0.6871
Expert scorecard (unfitted),Sector,Construction,31510,0.3853,0.1196,0.5168,,,,0.1197,0.8805
Expert scorecard (unfitted),Sector,Education,3341,0.3439,0.2559,0.5587,,,,0.224,0.6832
Expert scorecard (unfitted),Sector,Finance/Insurance,5136,0.4416,0.1542,0.5086,,,,0.1468,0.8364
Expert scorecard (unfitted),Sector,Health Care,15766,0.2276,0.2313,0.5422,,,,0.2177,0.7225
Expert scorecard (unfitted),Sector,Information,5612,0.3849,0.2974,0.5509,,,,0.2627,0.6472
Expert scorecard (unfitted),Sector,Management,49,0.4694,0.1633,,,,,0.1923,0.8696
Expert scorecard (unfitted),Sector,Manufacturing,21392,0.3025,0.1888,0.5149,,,,0.1876,0.8084
Expert scorecard (unfitted),Sector,Mining,542,0.1697,0.2638,0.4403,,,,0.2778,0.8043
Expert scorecard (unfitted),Sector,Not recorded,1,0.0,1.0,,,,,1.0,
